LÃ¸b ID,Dato,Starttid,TrÃ¦ningstype,Distance (km),Varighed,Gns. tempo (min/km),Gns. hastighed (km/t),Gns. puls (bpm),Maks puls (bpm),Kadence (skridt/min),SkridtlÃ¦ngde (m),HÃ¸jdemeter op (m),HÃ¸jdemeter ned (m),Kalorier (kcal),TrÃ¦ningseffekt aerob,TrÃ¦ningseffekt anaerob
32,2025-05-16,06:06,Interval,9.11,00:39:57,4.39,13.68,175,180,179,1.27,100,132,780,2.8,3.4
33,2025-10-03,16:46,Let,10.16,01:03:17,6.23,9.63,130,143,181,0.9,94,96,642,1.8,0.7
34,2025-06-03,14:19,Interval,14.28,00:55:34,3.89,15.42,178,190,187,1.37,124,105,1234,3.6,1.5
35,2025-10-08,19:00,Let,11.0,01:07:14,6.11,9.81,132,140,166,0.98,93,72,700,2.1,0.5
36,2025-03-28,16:05,Let,6.65,00:41:05,6.18,9.71,132,142,167,0.97,12,15,423,1.4,0.7
37,2025-11-09,19:49,Interval,6.41,00:26:38,4.16,14.43,174,190,184,1.31,49,52,548,2.6,3.5
38,2025-02-24,18:27,Let,3.87,00:23:00,5.94,10.09,129,145,173,0.97,11,16,244,1.3,0.9
39,2025-11-01,11:48,Interval,5.63,00:23:47,4.23,14.2,177,190,183,1.29,61,42,485,3.6,3.5
40,2025-08-19,10:48,Interval,13.7,00:59:57,4.38,13.71,177,190,184,1.24,106,90,1180,2.8,3.2
41,2025-02-11,08:09,Tempo,5.97,00:28:35,4.79,12.53,166,181,180,1.16,49,47,480,2.6,1.9
42,2025-07-19,20:49,Interval,5.78,00:24:28,4.24,14.17,173,184,180,1.31,19,30,492,2.6,3.1
43,2025-10-03,17:47,Interval,10.01,00:44:13,4.42,13.58,179,190,173,1.31,60,54,867,4.0,3.1
44,2025-03-26,19:29,Tempo,9.55,00:41:19,4.33,13.87,165,176,187,1.24,19,21,766,3.2,1.7
45,2025-07-14,11:13,Lang,14.03,01:26:38,6.18,9.72,148,162,174,0.93,66,57,989,3.0,0.5
46,2025-01-27,11:14,Let,8.46,00:53:33,6.33,9.48,129,147,172,0.92,0,15,533,1.8,0.9
47,2025-04-22,13:44,Lang,10.8,01:07:45,6.27,9.56,147,155,174,0.91,60,66,759,3.4,1.2
48,2025-01-14,20:19,Let,6.07,00:35:51,5.91,10.15,136,152,177,0.96,56,71,391,2.7,0.3
49,2025-11-04,18:07,Lang,9.91,00:58:06,5.86,10.23,150,158,181,0.94,70,64,703,3.6,1.6
50,2025-09-08,07:27,Tempo,12.55,00:52:53,4.21,14.24,168,183,182,1.3,32,54,1016,2.6,1.8
